business_id,business_type,date,source_category,activity,amount,unit,emission_factor,emissions_kgCO2e,scope
B0001,Bakery,2024-01,electricity,electricity_consumption,2022.0,kWh,0.508,1027.176,Scope 2
B0001,Bakery,2024-01,electricity,electricity_consumption,264.0,kWh,0.75,198.0,Scope 2
B0001,Bakery,2024-02,electricity,electricity_consumption,2152.0,kWh,0.508,1093.216,Scope 2
B0001,Bakery,2024-02,electricity,electricity_consumption,544.0,kWh,0.75,408.0,Scope 2
B0001,Bakery,2024-03,electricity,electricity_consumption,2128.0,kWh,0.508,1081.024,Scope 2
B0001,Bakery,2024-03,electricity,electricity_consumption,811.0,kWh,0.75,608.25,Scope 2
B0001,Bakery,2024-04,electricity,electricity_consumption,2473.0,kWh,0.508,1256.284,Scope 2
B0001,Bakery,2024-04,electricity,electricity_consumption,291.0,kWh,0.75,218.25,Scope 2
B0001,Bakery,2024-05,electricity,electricity_consumption,2422.0,kWh,0.508,1230.376,Scope 2
B0001,Bakery,2024-05,electricity,electricity_consumption,500.0,kWh,0.75,375.0,Scope 2
B0001,Bakery,2024-06,electricity,electricity_consumption,1623.0,kWh,0.508,824.484,Scope 2
B0001,Bakery,2024-06,electricity,electricity_consumption,262.0,kWh,0.75,196.5,Scope 2
B0001,Bakery,2024-07,electricity,electricity_consumption,2171.0,kWh,0.508,1102.868,Scope 2
B0001,Bakery,2024-07,electricity,electricity_consumption,437.0,kWh,0.75,327.75,Scope 2
B0001,Bakery,2024-08,electricity,electricity_consumption,1459.0,kWh,0.508,741.172,Scope 2
B0001,Bakery,2024-08,electricity,electricity_consumption,299.0,kWh,0.75,224.25,Scope 2
B0001,Bakery,2024-09,electricity,electricity_consumption,1769.0,kWh,0.508,898.652,Scope 2
B0001,Bakery,2024-09,electricity,electricity_consumption,453.0,kWh,0.75,339.75,Scope 2
B0001,Bakery,2024-10,electricity,electricity_consumption,2066.0,kWh,0.508,1049.528,Scope 2
B0001,Bakery,2024-10,electricity,electricity_consumption,819.0,kWh,0.75,614.25,Scope 2
B0001,Bakery,2024-11,electricity,electricity_consumption,1260.0,kWh,0.508,640.08,Scope 2
B0001,Bakery,2024-11,electricity,electricity_consumption,165.0,kWh,0.75,123.75,Scope 2
B0001,Bakery,2024-12,electricity,electricity_consumption,1949.0,kWh,0.508,990.092,Scope 2
B0001,Bakery,2024-12,electricity,electricity_consumption,205.0,kWh,0.75,153.75,Scope 2
B0002,Bakery,2024-01,electricity,electricity_consumption,2304.0,kWh,0.508,1170.432,Scope 2
B0002,Bakery,2024-01,electricity,electricity_consumption,469.0,kWh,0.75,351.75,Scope 2
B0002,Bakery,2024-02,electricity,electricity_consumption,2230.0,kWh,0.508,1132.84,Scope 2
B0002,Bakery,2024-02,electricity,electricity_consumption,483.0,kWh,0.75,362.25,Scope 2
B0002,Bakery,2024-03,electricity,electricity_consumption,2114.0,kWh,0.508,1073.912,Scope 2
B0002,Bakery,2024-03,electricity,electricity_consumption,270.0,kWh,0.75,202.5,Scope 2
B0002,Bakery,2024-04,electricity,electricity_consumption,1440.0,kWh,0.508,731.52,Scope 2
B0002,Bakery,2024-04,electricity,electricity_consumption,481.0,kWh,0.75,360.75,Scope 2
B0002,Bakery,2024-05,electricity,electricity_consumption,1485.0,kWh,0.508,754.38,Scope 2
B0002,Bakery,2024-05,electricity,electricity_consumption,575.0,kWh,0.75,431.25,Scope 2
B0002,Bakery,2024-06,electricity,electricity_consumption,1528.0,kWh,0.508,776.224,Scope 2
B0002,Bakery,2024-06,electricity,electricity_consumption,311.0,kWh,0.75,233.25,Scope 2
B0002,Bakery,2024-07,electricity,electricity_consumption,2437.0,kWh,0.508,1237.996,Scope 2
B0002,Bakery,2024-07,electricity,electricity_consumption,243.0,kWh,0.75,182.25,Scope 2
B0002,Bakery,2024-08,electricity,electricity_consumption,1209.0,kWh,0.508,614.172,Scope 2
B0002,Bakery,2024-08,electricity,electricity_consumption,197.0,kWh,0.75,147.75,Scope 2
B0002,Bakery,2024-09,electricity,electricity_consumption,2250.0,kWh,0.508,1143.0,Scope 2
B0002,Bakery,2024-09,electricity,electricity_consumption,359.0,kWh,0.75,269.25,Scope 2
B0002,Bakery,2024-10,electricity,electricity_consumption,1469.0,kWh,0.508,746.2520000000001,Scope 2
B0002,Bakery,2024-10,electricity,electricity_consumption,421.0,kWh,0.75,315.75,Scope 2
B0002,Bakery,2024-11,electricity,electricity_consumption,2405.0,kWh,0.508,1221.74,Scope 2
B0002,Bakery,2024-11,electricity,electricity_consumption,289.0,kWh,0.75,216.75,Scope 2
B0002,Bakery,2024-12,electricity,electricity_consumption,2090.0,kWh,0.508,1061.72,Scope 2
B0002,Bakery,2024-12,electricity,electricity_consumption,645.0,kWh,0.75,483.75,Scope 2
B0003,Bakery,2024-01,electricity,electricity_consumption,2500.0,kWh,0.508,1270.0,Scope 2
B0003,Bakery,2024-01,electricity,electricity_consumption,320.0,kWh,0.75,240.0,Scope 2
