business_id,business_type,billing_period,consumption_kWh,source,activity,unit,emission_factor,emissions_kgCO2e
B0001,Bakery,2024-01,2022,grid,grid_electricity_NG,kWh,0.508,1027.176
B0001,Bakery,2024-01,264,generator,diesel_generator,kWh,0.75,198.0
B0001,Bakery,2024-02,2152,grid,grid_electricity_NG,kWh,0.508,1093.2160000000001
B0001,Bakery,2024-02,544,generator,diesel_generator,kWh,0.75,408.0
B0001,Bakery,2024-03,2128,grid,grid_electricity_NG,kWh,0.508,1081.0240000000001
B0001,Bakery,2024-03,811,generator,diesel_generator,kWh,0.75,608.25
B0001,Bakery,2024-04,2473,grid,grid_electricity_NG,kWh,0.508,1256.284
B0001,Bakery,2024-04,291,generator,diesel_generator,kWh,0.75,218.25
B0001,Bakery,2024-05,2422,grid,grid_electricity_NG,kWh,0.508,1230.376
B0001,Bakery,2024-05,500,generator,diesel_generator,kWh,0.75,375.0
B0001,Bakery,2024-06,1623,grid,grid_electricity_NG,kWh,0.508,824.484
B0001,Bakery,2024-06,262,generator,diesel_generator,kWh,0.75,196.5
B0001,Bakery,2024-07,2171,grid,grid_electricity_NG,kWh,0.508,1102.868
B0001,Bakery,2024-07,437,generator,diesel_generator,kWh,0.75,327.75
B0001,Bakery,2024-08,1459,grid,grid_electricity_NG,kWh,0.508,741.172
B0001,Bakery,2024-08,299,generator,diesel_generator,kWh,0.75,224.25
B0001,Bakery,2024-09,1769,grid,grid_electricity_NG,kWh,0.508,898.652
B0001,Bakery,2024-09,453,generator,diesel_generator,kWh,0.75,339.75
B0001,Bakery,2024-10,2066,grid,grid_electricity_NG,kWh,0.508,1049.528
B0001,Bakery,2024-10,819,generator,diesel_generator,kWh,0.75,614.25
B0001,Bakery,2024-11,1260,grid,grid_electricity_NG,kWh,0.508,640.08
B0001,Bakery,2024-11,165,generator,diesel_generator,kWh,0.75,123.75
B0001,Bakery,2024-12,1949,grid,grid_electricity_NG,kWh,0.508,990.092
B0001,Bakery,2024-12,205,generator,diesel_generator,kWh,0.75,153.75
B0002,Bakery,2024-01,2304,grid,grid_electricity_NG,kWh,0.508,1170.432
B0002,Bakery,2024-01,469,generator,diesel_generator,kWh,0.75,351.75
