business_id,business_type,reporting_month,fuel_type,liters,unit,emission_factor,emissions_kgCO2e
B001,Bakery,2024-01,diesel,302,liter,2.68,809.36
B001,Bakery,2024-02,diesel,379,liter,2.68,1015.72
B001,Bakery,2024-03,diesel,292,liter,2.68,782.5600000000001
B002,Restaurant,2024-01,LPG,74,kg,3.01,222.73999999999998
B002,Restaurant,2024-01,petrol,27,liter,2.33,62.910000000000004
B002,Restaurant,2024-02,LPG,120,kg,3.01,361.2
B002,Restaurant,2024-02,petrol,40,liter,2.33,93.2
B002,Restaurant,2024-03,LPG,98,kg,3.01,294.97999999999996
B002,Restaurant,2024-03,petrol,38,liter,2.33,88.54
B003,FuelStation,2024-01,diesel,814,liter,2.68,2181.52
B003,FuelStation,2024-01,petrol,730,liter,2.33,1700.9
B003,FuelStation,2024-02,diesel,1058,liter,2.68,2835.44
B003,FuelStation,2024-02,petrol,487,liter,2.33,1134.71
B003,FuelStation,2024-03,diesel,972,liter,2.68,2604.96
B003,FuelStation,2024-03,petrol,499,liter,2.33,1162.67
B004,Pharmacy,2024-01,petrol,89,liter,2.33,207.37
B004,Pharmacy,2024-02,petrol,73,liter,2.33,170.09
B004,Pharmacy,2024-03,petrol,52,liter,2.33,121.16
B005,Supermarket,2024-01,diesel,549,liter,2.68,1471.3200000000002
B005,Supermarket,2024-01,petrol,152,liter,2.33,354.16
B005,Supermarket,2024-02,diesel,657,liter,2.68,1760.7600000000002
B005,Supermarket,2024-02,petrol,187,liter,2.33,435.71000000000004
B005,Supermarket,2024-03,diesel,693,liter,2.68,1857.24
B005,Supermarket,2024-03,petrol,229,liter,2.33,533.57
B006,SmallShop,2024-01,petrol,50,liter,2.33,116.5
B006,SmallShop,2024-02,petrol,62,liter,2.33,144.46
B006,SmallShop,2024-03,petrol,41,liter,2.33,95.53
