business_id,business_type,date,mode,distance_km,unit,emission_factor,emissions_kgCO2e
B0001,Bakery,2024-01,car_diesel,87.6,km,0.201,17.6076
B0001,Bakery,2024-01,car_diesel,275.6,km,0.201,55.39560000000001
B0001,Bakery,2024-01,motorbike,38.6,km,0.112,4.3232
B0001,Bakery,2024-01,car_petrol,83.1,km,0.225,18.697499999999998
B0001,Bakery,2024-01,delivery_van,196.9,km,0.315,62.023500000000006
B0001,Bakery,2024-02,bus,2142.0,passenger-km,0.088,188.49599999999998
B0001,Bakery,2024-02,car_petrol,69.7,km,0.225,15.682500000000001
B0001,Bakery,2024-02,delivery_van,79.5,km,0.315,25.0425
B0001,Bakery,2024-02,car_petrol,158.8,km,0.225,35.730000000000004
B0001,Bakery,2024-02,car_diesel,31.0,km,0.201,6.231000000000001
B0001,Bakery,2024-03,car_petrol,168.8,km,0.225,37.980000000000004
B0001,Bakery,2024-03,bus,1403.4,passenger-km,0.088,123.4992
B0001,Bakery,2024-04,delivery_van,249.1,km,0.315,78.4665
B0001,Bakery,2024-04,motorbike,229.1,km,0.112,25.6592
B0001,Bakery,2024-04,car_petrol,224.1,km,0.225,50.4225
B0001,Bakery,2024-04,motorbike,80.2,km,0.112,8.9824
B0001,Bakery,2024-05,car_petrol,181.6,km,0.225,40.86
B0001,Bakery,2024-05,car_petrol,297.4,km,0.225,66.91499999999999
B0001,Bakery,2024-06,car_petrol,227.5,km,0.225,51.1875
B0001,Bakery,2024-06,car_diesel,167.2,km,0.201,33.6072
B0001,Bakery,2024-06,bus,440.8,passenger-km,0.088,38.7904
B0001,Bakery,2024-06,bus,320.0,passenger-km,0.088,28.159999999999997
B0001,Bakery,2024-06,car_diesel,139.3,km,0.201,27.999300000000005
B0001,Bakery,2024-07,car_diesel,115.2,km,0.201,23.1552
B0001,Bakery,2024-07,bus,721.5,passenger-km,0.088,63.492
B0001,Bakery,2024-07,car_diesel,170.7,km,0.201,34.3107
B0001,Bakery,2024-08,car_diesel,165.3,km,0.201,33.225300000000004
B0001,Bakery,2024-08,bus,1635.2,passenger-km,0.088,143.89759999999998
B0001,Bakery,2024-08,motorbike,73.9,km,0.112,8.276800000000001
B0001,Bakery,2024-09,delivery_van,86.7,km,0.315,27.3105
B0001,Bakery,2024-09,motorbike,166.8,km,0.112,18.681600000000003
B0001,Bakery,2024-09,delivery_van,130.4,km,0.315,41.076
B0001,Bakery,2024-10,car_petrol,74.8,km,0.225,16.83
B0001,Bakery,2024-10,bus,3010.8,passenger-km,0.088,264.9504
B0001,Bakery,2024-10,bus,990.4,passenger-km,0.088,87.1552
B0001,Bakery,2024-10,bus,1899.8,passenger-km,0.088,167.18239999999997
B0001,Bakery,2024-10,car_diesel,253.8,km,0.201,51.0138
B0001,Bakery,2024-11,delivery_van,167.1,km,0.315,52.6365
B0001,Bakery,2024-11,car_petrol,223.3,km,0.225,50.24250000000001
B0001,Bakery,2024-11,motorbike,136.6,km,0.112,15.299199999999999
B0001,Bakery,2024-11,motorbike,187.2,km,0.112,20.9664
B0001,Bakery,2024-12,bus,681.2,passenger-km,0.088,59.9456
B0001,Bakery,2024-12,delivery_van,237.2,km,0.315,74.718
B0001,Bakery,2024-12,car_petrol,54.8,km,0.225,12.33
B0002,Restaurant,2024-01,motorbike,136.0,km,0.112,15.232000000000001
B0002,Restaurant,2024-01,motorbike,133.6,km,0.112,14.9632
B0002,Restaurant,2024-01,car_diesel,250.0,km,0.201,50.25
B0002,Restaurant,2024-01,car_petrol,61.1,km,0.225,13.7475
B0002,Restaurant,2024-02,delivery_van,160.3,km,0.315,50.4945
B0002,Restaurant,2024-02,delivery_van,17.9,km,0.315,5.6385
B0002,Restaurant,2024-02,bus,212.4,passenger-km,0.088,18.6912
B0002,Restaurant,2024-02,bus,3318.0,passenger-km,0.088,291.984
B0002,Restaurant,2024-02,motorbike,37.0,km,0.112,4.144
B0002,Restaurant,2024-03,car_diesel,170.8,km,0.201,34.3308
B0002,Restaurant,2024-03,motorbike,208.7,km,0.112,23.374399999999998
B0002,Restaurant,2024-03,car_petrol,36.6,km,0.225,8.235000000000001
B0002,Restaurant,2024-04,car_petrol,69.5,km,0.225,15.637500000000001
B0002,Restaurant,2024-04,delivery_van,68.7,km,0.315,21.6405
B0002,Restaurant,2024-04,motorbike,278.4,km,0.112,31.180799999999998
B0002,Restaurant,2024-04,motorbike,238.4,km,0.112,26.7008
B0002,Restaurant,2024-04,car_diesel,60.4,km,0.201,12.1404
B0002,Restaurant,2024-05,delivery_van,179.3,km,0.315,56.4795
B0002,Restaurant,2024-05,car_diesel,262.6,km,0.201,52.78260000000001
B0002,Restaurant,2024-05,delivery_van,23.1,km,0.315,7.2765
B0002,Restaurant,2024-05,car_diesel,251.9,km,0.201,50.6319
B0002,Restaurant,2024-06,car_diesel,263.1,km,0.201,52.883100000000006
B0002,Restaurant,2024-06,bus,1038.5,passenger-km,0.088,91.38799999999999
B0002,Restaurant,2024-06,bus,2281.2,passenger-km,0.088,200.74559999999997
B0002,Restaurant,2024-06,car_diesel,252.1,km,0.201,50.6721
B0002,Restaurant,2024-07,bus,3313.5,passenger-km,0.088,291.58799999999997
B0002,Restaurant,2024-07,car_petrol,281.7,km,0.225,63.3825
B0002,Restaurant,2024-07,delivery_van,173.4,km,0.315,54.621
B0002,Restaurant,2024-07,delivery_van,199.8,km,0.315,62.937000000000005
B0002,Restaurant,2024-08,car_petrol,54.3,km,0.225,12.2175
B0002,Restaurant,2024-08,car_petrol,284.7,km,0.225,64.0575
B0002,Restaurant,2024-08,bus,262.7,passenger-km,0.088,23.117599999999996
B0002,Restaurant,2024-09,motorbike,34.4,km,0.112,3.8528
B0002,Restaurant,2024-09,car_diesel,107.9,km,0.201,21.687900000000003
B0002,Restaurant,2024-09,car_petrol,76.9,km,0.225,17.302500000000002
B0002,Restaurant,2024-09,delivery_van,16.8,km,0.315,5.292000000000001
B0002,Restaurant,2024-09,delivery_van,273.6,km,0.315,86.18400000000001
B0002,Restaurant,2024-10,car_petrol,201.5,km,0.225,45.3375
B0002,Restaurant,2024-10,car_diesel,232.0,km,0.201,46.632000000000005
B0002,Restaurant,2024-11,motorbike,155.7,km,0.112,17.438399999999998
B0002,Restaurant,2024-11,car_diesel,267.7,km,0.201,53.807700000000004
B0002,Restaurant,2024-11,car_petrol,234.2,km,0.225,52.695
B0002,Restaurant,2024-11,delivery_van,189.6,km,0.315,59.724
B0002,Restaurant,2024-12,car_diesel,275.2,km,0.201,55.315200000000004
B0002,Restaurant,2024-12,delivery_van,262.1,km,0.315,82.56150000000001
B0002,Restaurant,2024-12,motorbike,242.0,km,0.112,27.104
B0003,Supermarket,2024-01,car_diesel,152.6,km,0.201,30.6726
B0003,Supermarket,2024-01,car_petrol,274.0,km,0.225,61.65
B0003,Supermarket,2024-02,bus,4187.400000000001,passenger-km,0.088,368.49120000000005
B0003,Supermarket,2024-02,motorbike,59.8,km,0.112,6.6975999999999996
B0003,Supermarket,2024-02,car_diesel,72.0,km,0.201,14.472000000000001
B0003,Supermarket,2024-02,delivery_van,291.8,km,0.315,91.917
B0003,Supermarket,2024-03,motorbike,170.7,km,0.112,19.118399999999998
B0003,Supermarket,2024-03,bus,1864.8,passenger-km,0.088,164.1024
B0003,Supermarket,2024-03,car_petrol,40.1,km,0.225,9.0225
B0003,Supermarket,2024-04,delivery_van,233.2,km,0.315,73.458
B0003,Supermarket,2024-04,car_petrol,254.0,km,0.225,57.15
B0003,Supermarket,2024-04,car_petrol,278.0,km,0.225,62.550000000000004
