business_id,business_type,date,waste_type,disposal_method,weight_kg,unit,emission_factor,emissions_kgCO2e
B0001,Bakery,2024-01,food,composting,87.34,kg,0.2,17.468
B0001,Bakery,2024-01,plastic,landfill,53.38,kg,2.5,133.45000000000002
B0001,Bakery,2024-01,paper,recycling,98.67,kg,-0.4,-39.468
B0001,Bakery,2024-02,food,landfill,46.07,kg,1.4,64.49799999999999
B0001,Bakery,2024-02,plastic,recycling,86.1,kg,-0.4,-34.44
B0001,Bakery,2024-02,paper,recycling,36.35,kg,-0.4,-14.540000000000001
B0001,Bakery,2024-03,food,composting,45.06,kg,0.2,9.012
B0001,Bakery,2024-03,plastic,landfill,57.59,kg,2.5,143.97500000000002
B0001,Bakery,2024-03,paper,landfill,26.64,kg,1.0,26.64
B0001,Bakery,2024-04,food,landfill,50.39,kg,1.4,70.54599999999999
B0001,Bakery,2024-04,plastic,recycling,23.17,kg,-0.4,-9.268
B0001,Bakery,2024-04,paper,landfill,68.23,kg,1.0,68.23
B0001,Bakery,2024-05,food,landfill,73.94,kg,1.4,103.51599999999999
B0001,Bakery,2024-05,plastic,landfill,81.76,kg,2.5,204.4
B0001,Bakery,2024-05,paper,landfill,85.71,kg,1.0,85.71
B0001,Bakery,2024-06,food,composting,30.64,kg,0.2,6.128
B0001,Bakery,2024-06,plastic,landfill,94.45,kg,2.5,236.125
B0001,Bakery,2024-06,paper,landfill,24.84,kg,1.0,24.84
B0001,Bakery,2024-07,food,composting,28.19,kg,0.2,5.638000000000001
B0001,Bakery,2024-07,plastic,landfill,21.4,kg,2.5,53.5
B0001,Bakery,2024-07,paper,recycling,68.14,kg,-0.4,-27.256
B0001,Bakery,2024-08,food,landfill,59.26,kg,1.4,82.964
B0001,Bakery,2024-08,plastic,landfill,96.04,kg,2.5,240.10000000000002
B0001,Bakery,2024-08,paper,landfill,98.31,kg,1.0,98.31
B0001,Bakery,2024-09,food,landfill,42.49,kg,1.4,59.486
B0001,Bakery,2024-09,plastic,landfill,89.37,kg,2.5,223.425
B0001,Bakery,2024-09,paper,recycling,38.04,kg,-0.4,-15.216000000000001
B0001,Bakery,2024-10,food,landfill,88.99,kg,1.4,124.58599999999998
B0001,Bakery,2024-10,plastic,landfill,93.68,kg,2.5,234.20000000000002
B0001,Bakery,2024-10,paper,landfill,56.98,kg,1.0,56.98
B0001,Bakery,2024-11,food,landfill,58.85,kg,1.4,82.39
B0001,Bakery,2024-11,plastic,recycling,19.29,kg,-0.4,-7.716
B0001,Bakery,2024-11,paper,recycling,81.67,kg,-0.4,-32.668
B0001,Bakery,2024-12,food,landfill,69.15,kg,1.4,96.81
B0001,Bakery,2024-12,plastic,recycling,60.11,kg,-0.4,-24.044
B0001,Bakery,2024-12,paper,landfill,95.29,kg,1.0,95.29
B0002,Restaurant,2024-01,food,landfill,12.56,kg,1.4,17.584
B0002,Restaurant,2024-01,plastic,landfill,42.02,kg,2.5,105.05000000000001
B0002,Restaurant,2024-01,paper,landfill,52.61,kg,1.0,52.61
B0002,Restaurant,2024-02,food,composting,90.3,kg,0.2,18.06
B0002,Restaurant,2024-02,plastic,recycling,97.64,kg,-0.4,-39.056000000000004
B0002,Restaurant,2024-02,paper,recycling,78.19,kg,-0.4,-31.276
B0002,Restaurant,2024-03,food,landfill,38.4,kg,1.4,53.76
B0002,Restaurant,2024-03,plastic,recycling,14.61,kg,-0.4,-5.844
B0002,Restaurant,2024-03,paper,landfill,95.17,kg,1.0,95.17
B0002,Restaurant,2024-04,food,composting,50.46,kg,0.2,10.092
B0002,Restaurant,2024-04,plastic,recycling,82.88,kg,-0.4,-33.152
B0002,Restaurant,2024-04,paper,recycling,42.77,kg,-0.4,-17.108
B0002,Restaurant,2024-05,food,composting,13.03,kg,0.2,2.606
B0002,Restaurant,2024-05,plastic,recycling,95.21,kg,-0.4,-38.083999999999996
B0002,Restaurant,2024-05,paper,landfill,90.94,kg,1.0,90.94
B0002,Restaurant,2024-06,food,composting,55.49,kg,0.2,11.098
B0002,Restaurant,2024-06,plastic,landfill,42.85,kg,2.5,107.125
B0002,Restaurant,2024-06,paper,landfill,86.18,kg,1.0,86.18
B0002,Restaurant,2024-07,food,composting,64.21,kg,0.2,12.841999999999999
B0002,Restaurant,2024-07,plastic,landfill,12.26,kg,2.5,30.65
B0002,Restaurant,2024-07,paper,recycling,64.62,kg,-0.4,-25.848000000000003
B0002,Restaurant,2024-08,food,composting,35.27,kg,0.2,7.054000000000001
B0002,Restaurant,2024-08,plastic,landfill,26.87,kg,2.5,67.175
B0002,Restaurant,2024-08,paper,recycling,17.81,kg,-0.4,-7.124
B0002,Restaurant,2024-09,food,composting,86.26,kg,0.2,17.252000000000002
B0002,Restaurant,2024-09,plastic,landfill,40.86,kg,2.5,102.15
B0002,Restaurant,2024-09,paper,recycling,47.62,kg,-0.4,-19.048
B0002,Restaurant,2024-10,food,composting,90.51,kg,0.2,18.102
B0002,Restaurant,2024-10,plastic,landfill,67.4,kg,2.5,168.5
B0002,Restaurant,2024-10,paper,landfill,66.29,kg,1.0,66.29
