business_id,business_type,date,treatment_type,flow_type,volume_m3,activity,unit,emission_factor,emissions_kgCO2e,category
B0001,Bakery,2024-01-01,unmanaged,water_consumed_m3,130.0,water_supply,m3,0.344,44.72,water_supply
B0001,Bakery,2024-01-01,unmanaged,wastewater_m3,91.0,wastewater_unmanaged,m3,0.708,64.428,wastewater
B0001,Bakery,2024-02-01,unmanaged,water_consumed_m3,122.0,water_supply,m3,0.344,41.967999999999996,water_supply
B0001,Bakery,2024-02-01,unmanaged,wastewater_m3,85.39999999999999,wastewater_unmanaged,m3,0.708,60.46319999999999,wastewater
B0001,Bakery,2024-03-01,unmanaged,water_consumed_m3,140.0,water_supply,m3,0.344,48.16,water_supply
B0001,Bakery,2024-03-01,unmanaged,wastewater_m3,98.0,wastewater_unmanaged,m3,0.708,69.384,wastewater
B0001,Bakery,2024-04-01,unmanaged,water_consumed_m3,130.0,water_supply,m3,0.344,44.72,water_supply
B0001,Bakery,2024-04-01,unmanaged,wastewater_m3,91.0,wastewater_unmanaged,m3,0.708,64.428,wastewater
B0001,Bakery,2024-05-01,unmanaged,water_consumed_m3,144.0,water_supply,m3,0.344,49.535999999999994,water_supply
B0001,Bakery,2024-05-01,unmanaged,wastewater_m3,100.8,wastewater_unmanaged,m3,0.708,71.3664,wastewater
B0001,Bakery,2024-06-01,unmanaged,water_consumed_m3,148.0,water_supply,m3,0.344,50.912,water_supply
B0001,Bakery,2024-06-01,unmanaged,wastewater_m3,103.6,wastewater_unmanaged,m3,0.708,73.3488,wastewater
B0001,Bakery,2024-07-01,unmanaged,water_consumed_m3,125.0,water_supply,m3,0.344,43.0,water_supply
B0001,Bakery,2024-07-01,unmanaged,wastewater_m3,87.5,wastewater_unmanaged,m3,0.708,61.949999999999996,wastewater
B0001,Bakery,2024-08-01,unmanaged,water_consumed_m3,121.0,water_supply,m3,0.344,41.623999999999995,water_supply
B0001,Bakery,2024-08-01,unmanaged,wastewater_m3,84.69999999999999,wastewater_unmanaged,m3,0.708,59.96759999999999,wastewater
B0001,Bakery,2024-09-01,unmanaged,water_consumed_m3,107.0,water_supply,m3,0.344,36.808,water_supply
B0001,Bakery,2024-09-01,unmanaged,wastewater_m3,74.89999999999999,wastewater_unmanaged,m3,0.708,53.02919999999999,wastewater
B0001,Bakery,2024-10-01,unmanaged,water_consumed_m3,108.0,water_supply,m3,0.344,37.151999999999994,water_supply
B0001,Bakery,2024-10-01,unmanaged,wastewater_m3,75.6,wastewater_unmanaged,m3,0.708,53.52479999999999,wastewater
B0001,Bakery,2024-11-01,unmanaged,water_consumed_m3,140.0,water_supply,m3,0.344,48.16,water_supply
B0001,Bakery,2024-11-01,unmanaged,wastewater_m3,98.0,wastewater_unmanaged,m3,0.708,69.384,wastewater
B0001,Bakery,2024-12-01,unmanaged,water_consumed_m3,143.0,water_supply,m3,0.344,49.19199999999999,water_supply
B0001,Bakery,2024-12-01,unmanaged,wastewater_m3,100.1,wastewater_unmanaged,m3,0.708,70.87079999999999,wastewater
B0002,Restaurant,2024-01-01,centralized,water_consumed_m3,348.0,water_supply,m3,0.344,119.71199999999999,water_supply
B0002,Restaurant,2024-01-01,centralized,wastewater_m3,233.16000000000003,wastewater_centralized,m3,0.272,63.41952000000001,wastewater
B0002,Restaurant,2024-02-01,centralized,water_consumed_m3,314.0,water_supply,m3,0.344,108.01599999999999,water_supply
B0002,Restaurant,2024-02-01,centralized,wastewater_m3,210.38000000000002,wastewater_centralized,m3,0.272,57.223360000000014,wastewater
B0002,Restaurant,2024-03-01,centralized,water_consumed_m3,303.0,water_supply,m3,0.344,104.23199999999999,water_supply
B0002,Restaurant,2024-03-01,centralized,wastewater_m3,203.01000000000002,wastewater_centralized,m3,0.272,55.21872000000001,wastewater
B0002,Restaurant,2024-04-01,centralized,water_consumed_m3,289.0,water_supply,m3,0.344,99.416,water_supply
B0002,Restaurant,2024-04-01,centralized,wastewater_m3,193.63000000000002,wastewater_centralized,m3,0.272,52.66736000000001,wastewater
B0002,Restaurant,2024-05-01,centralized,water_consumed_m3,296.0,water_supply,m3,0.344,101.824,water_supply
B0002,Restaurant,2024-05-01,centralized,wastewater_m3,198.32000000000002,wastewater_centralized,m3,0.272,53.94304000000001,wastewater
B0002,Restaurant,2024-06-01,centralized,water_consumed_m3,314.0,water_supply,m3,0.344,108.01599999999999,water_supply
B0002,Restaurant,2024-06-01,centralized,wastewater_m3,210.38000000000002,wastewater_centralized,m3,0.272,57.223360000000014,wastewater
B0002,Restaurant,2024-07-01,centralized,water_consumed_m3,288.0,water_supply,m3,0.344,99.07199999999999,water_supply
B0002,Restaurant,2024-07-01,centralized,wastewater_m3,192.96,wastewater_centralized,m3,0.272,52.48512000000001,wastewater
B0002,Restaurant,2024-08-01,centralized,water_consumed_m3,318.0,water_supply,m3,0.344,109.392,water_supply
B0002,Restaurant,2024-08-01,centralized,wastewater_m3,213.06,wastewater_centralized,m3,0.272,57.95232000000001,wastewater
B0002,Restaurant,2024-09-01,centralized,water_consumed_m3,251.0,water_supply,m3,0.344,86.344,water_supply
B0002,Restaurant,2024-09-01,centralized,wastewater_m3,168.17000000000002,wastewater_centralized,m3,0.272,45.74224000000001,wastewater
B0002,Restaurant,2024-10-01,centralized,water_consumed_m3,286.0,water_supply,m3,0.344,98.38399999999999,water_supply
B0002,Restaurant,2024-10-01,centralized,wastewater_m3,191.62,wastewater_centralized,m3,0.272,52.12064,wastewater
B0002,Restaurant,2024-11-01,centralized,water_consumed_m3,324.0,water_supply,m3,0.344,111.45599999999999,water_supply
B0002,Restaurant,2024-11-01,centralized,wastewater_m3,217.08,wastewater_centralized,m3,0.272,59.04576000000001,wastewater
B0002,Restaurant,2024-12-01,centralized,water_consumed_m3,256.0,water_supply,m3,0.344,88.064,water_supply
B0002,Restaurant,2024-12-01,centralized,wastewater_m3,171.52,wastewater_centralized,m3,0.272,46.65344,wastewater
B0003,Supermarket,2024-01-01,unmanaged,water_consumed_m3,517.0,water_supply,m3,0.344,177.84799999999998,water_supply
B0003,Supermarket,2024-01-01,unmanaged,wastewater_m3,387.75,wastewater_unmanaged,m3,0.708,274.527,wastewater
B0003,Supermarket,2024-02-01,unmanaged,water_consumed_m3,424.0,water_supply,m3,0.344,145.856,water_supply
B0003,Supermarket,2024-02-01,unmanaged,wastewater_m3,318.0,wastewater_unmanaged,m3,0.708,225.14399999999998,wastewater
B0003,Supermarket,2024-03-01,unmanaged,water_consumed_m3,454.0,water_supply,m3,0.344,156.176,water_supply
B0003,Supermarket,2024-03-01,unmanaged,wastewater_m3,340.5,wastewater_unmanaged,m3,0.708,241.07399999999998,wastewater
B0003,Supermarket,2024-04-01,unmanaged,water_consumed_m3,522.0,water_supply,m3,0.344,179.56799999999998,water_supply
B0003,Supermarket,2024-04-01,unmanaged,wastewater_m3,391.5,wastewater_unmanaged,m3,0.708,277.18199999999996,wastewater
B0003,Supermarket,2024-05-01,unmanaged,water_consumed_m3,409.0,water_supply,m3,0.344,140.696,water_supply
B0003,Supermarket,2024-05-01,unmanaged,wastewater_m3,306.75,wastewater_unmanaged,m3,0.708,217.179,wastewater
B0003,Supermarket,2024-06-01,unmanaged,water_consumed_m3,443.0,water_supply,m3,0.344,152.392,water_supply
B0003,Supermarket,2024-06-01,unmanaged,wastewater_m3,332.25,wastewater_unmanaged,m3,0.708,235.23299999999998,wastewater
B0003,Supermarket,2024-07-01,unmanaged,water_consumed_m3,460.0,water_supply,m3,0.344,158.23999999999998,water_supply
B0003,Supermarket,2024-07-01,unmanaged,wastewater_m3,345.0,wastewater_unmanaged,m3,0.708,244.26,wastewater
B0003,Supermarket,2024-08-01,unmanaged,water_consumed_m3,428.0,water_supply,m3,0.344,147.232,water_supply
B0003,Supermarket,2024-08-01,unmanaged,wastewater_m3,321.0,wastewater_unmanaged,m3,0.708,227.268,wastewater
B0003,Supermarket,2024-09-01,unmanaged,water_consumed_m3,448.0,water_supply,m3,0.344,154.112,water_supply
B0003,Supermarket,2024-09-01,unmanaged,wastewater_m3,336.0,wastewater_unmanaged,m3,0.708,237.88799999999998,wastewater
B0003,Supermarket,2024-10-01,unmanaged,water_consumed_m3,488.0,water_supply,m3,0.344,167.87199999999999,water_supply
B0003,Supermarket,2024-10-01,unmanaged,wastewater_m3,366.0,wastewater_unmanaged,m3,0.708,259.128,wastewater
B0003,Supermarket,2024-11-01,unmanaged,water_consumed_m3,516.0,water_supply,m3,0.344,177.504,water_supply
B0003,Supermarket,2024-11-01,unmanaged,wastewater_m3,387.0,wastewater_unmanaged,m3,0.708,273.996,wastewater
B0003,Supermarket,2024-12-01,unmanaged,water_consumed_m3,481.0,water_supply,m3,0.344,165.464,water_supply
B0003,Supermarket,2024-12-01,unmanaged,wastewater_m3,360.75,wastewater_unmanaged,m3,0.708,255.41099999999997,wastewater
